jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
PattyCakes_26,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:00:13 +0000 2018
NWPaisa,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:59:50 +0000 2018
RareCamellia,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:59:25 +0000 2018
RafaelC75424210,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:59:16 +0000 2018
guyfromsamoa,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:59:14 +0000 2018
ubudoc,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:59:13 +0000 2018
kc_fox815,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:59:13 +0000 2018
SuzyQ199,@brianklaas If there is a stronger word than horrifying then it applies here.,,Sun Aug 19 00:59:05 +0000 2018
Dogman7777,RT @GabrielChauncey: Incredible interview... https://t.co/6P2HhGs01x,Incredible interview... https://t.co/6P2HhGs01x,Sun Aug 19 00:58:56 +0000 2018
jun_wong97,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:58:55 +0000 2018
robndea,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:58:52 +0000 2018
humorlikebitch,He Took a Picture of His Daughter and Discovered Something Horrifying https://t.co/BgLVqRBx1i,,Sun Aug 19 00:58:48 +0000 2018
wonhorangi,"so it's kinda like when you tare off the meat off pork chop? like there's that little bit of nerve connecting it but essentially once that's removed along with the meat, you get a pretty clean bone... this is a bit of a horrifying example but this is what i'm getting from it 😂 https://t.co/E327lz6Tmw",,Sun Aug 19 00:58:29 +0000 2018
djphatcatSA,RT @uNdlunkulu_Xoli: Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity…,"Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity but they throw in jail students who were fighting for Free Education, the same Education the ANC promised people 😔

#KnowYourANC #FeesMustFall #MceboDlamini",Sun Aug 19 00:58:26 +0000 2018
Introvcrts,RT @VictimofNOED: || throw back to this horrifying moment https://t.co/Z5LnodMxaG,|| throw back to this horrifying moment https://t.co/Z5LnodMxaG,Sun Aug 19 00:58:16 +0000 2018
sandyjean509,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 00:58:10 +0000 2018
sasanoji_radio,玖壹壹(Nine one one) - 恐怖情人Horrifying Lover 官方MV首播 https://t.co/ZEyBeySYld @YouTube,,Sun Aug 19 00:58:03 +0000 2018
lweatonNC,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:57:54 +0000 2018
C4NV4S,SO. FUCKING. HORRIFYING. https://t.co/CtVzsuNNMb,,Sun Aug 19 00:57:53 +0000 2018
VictimofNOED,|| throw back to this horrifying moment https://t.co/Z5LnodMxaG,,Sun Aug 19 00:57:50 +0000 2018
dumptrump1234,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:57:48 +0000 2018
bradyswenson,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:57:43 +0000 2018
yaelharris,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:57:32 +0000 2018
TheSemDem,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:57:16 +0000 2018
tdzwilewski,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:57:07 +0000 2018
scross1141,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:57:00 +0000 2018
CariCorbett100,RT @BetteMidler: THIS IS REQUIRED READING FOR ALL OF US.  WHAT HAS HAPPENED TO THE FREE PRESS IN OUR COUNTRY IS HORRIFYING AND MUST STOP!!…,THIS IS REQUIRED READING FOR ALL OF US.  WHAT HAS HAPPENED TO THE FREE PRESS IN OUR COUNTRY IS HORRIFYING AND MUST STOP!! A Free Press Needs You   via @NYTimes https://t.co/ViNoEiMYzn,Sun Aug 19 00:56:53 +0000 2018
tommyboyinmich,RT @TerminatorBarbi: @OliverMcGee @LadyRedWave @FBI @petestrzok @POTUS @realDonaldTrump @WhiteHouse I find it especially horrifying as I ha…,"@OliverMcGee @LadyRedWave @FBI @petestrzok @POTUS @realDonaldTrump @WhiteHouse I find it especially horrifying as I have watched @dawn8_dawn struggle to raise money for her husbands heart and lung transplant.

It's heartbreaking, I just can't wrap my head around how any of this is happening in America.

God Help Us All. 🙏",Sun Aug 19 00:56:46 +0000 2018
complexin,@TrancewithMe Well that’s horrifying,,Sun Aug 19 00:56:29 +0000 2018
CherokeeNative3,RT @Chris_09765: @duty2warn @UnfitMovie https://t.co/kwmYDvd4vx,@duty2warn @UnfitMovie https://t.co/kwmYDvd4vx,Sun Aug 19 00:56:28 +0000 2018
DavePar70885643,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:56:16 +0000 2018
DanimalVIII,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:56:13 +0000 2018
sintwitties,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:56:09 +0000 2018
fotofah,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:56:00 +0000 2018
