SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
mattfabietti,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:44:59 +0000 2018
EricaGoss,@cocoa_dot Happy #Caturday ! It's pouring rain here today and I'm having a hard time staying awa💤💤💤 ~Rascal,,Sat Aug 18 14:44:48 +0000 2018
susanna_g888,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 14:44:41 +0000 2018
PEIslandCanada,RT @joeysfishing: It may be pouring rain but that didn’t stop this crew from fishing this morning. The fish didn’t mind getting wet either!…,It may be pouring rain but that didn’t stop this crew from fishing this morning. The fish didn’t mind getting wet either!! #fishing #pei https://t.co/oJPgk0ES5B,Sat Aug 18 14:41:07 +0000 2018
theyankee49,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 14:40:26 +0000 2018
troyesweeteners,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:40:16 +0000 2018
basicallyamyz,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 14:39:35 +0000 2018
cole_lee1996,Day after day I'm more confused. Yet I look for the light through the pouring rain 🎶,,Sat Aug 18 14:39:28 +0000 2018
NathyChimmy,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 14:38:49 +0000 2018
macatolrain,"You're the coffee that I need in the morning 
You're my sunshine in the rain when it's pouring🎶",,Sat Aug 18 14:38:38 +0000 2018
zkdlsoos,"""Oh, they're not in our school? Hmm then where are they?""

Chanyeol perked up when he heard someone's laughing outside under the rain, he saw him twirling around and swaying his small body. His white robe dancing, not even getting any wet from the pouring rain.

""He's far away.""",,Sat Aug 18 14:37:09 +0000 2018
BharatBedia,"🎤
I have stood here before inside the pouring rain
With the world turning circles running 'round my brain
I guess I'm always hoping that you'll end this reign
But it's my destiny to be the king of pain
🎶
#ThePolice 
#über 
https://t.co/sKjiNthXZc",,Sat Aug 18 14:36:30 +0000 2018
SageMustafa,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:36:06 +0000 2018
pinuppastry,"Woke up sad. No reason, just sad. Then it started pouring down rain.
1st of all where is the love of my life returning from some sojourn to embrace me ala Korean cinema?
2nd, I've got Patty Griffin on shuffle.",,Sat Aug 18 14:34:40 +0000 2018
milxsaway,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:33:56 +0000 2018
VickyComeau,"Pouring Rain, good movie, quilting = relaxing. Happy Saturday all!!!!",,Sat Aug 18 14:33:36 +0000 2018
Winefamilies,@MattRenoux @KylieBearseWX @9NEWS Pouring rain up here so a good thing they finished up here on dry pavement,,Sat Aug 18 14:32:11 +0000 2018
storm_muse71,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 14:32:02 +0000 2018
suzuslaysss_,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:31:14 +0000 2018
joeysfishing,It may be pouring rain but that didn’t stop this crew from fishing this morning. The fish didn’t mind getting wet either!! #fishing #pei https://t.co/oJPgk0ES5B,,Sat Aug 18 14:30:15 +0000 2018
athiaq,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:29:28 +0000 2018
lizxbada04,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 14:29:21 +0000 2018
inaCalix,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:28:22 +0000 2018
kaffsss,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:27:49 +0000 2018
rachalino,RT @YaDingoid: Pretty sure I’m now an accomplice in a murder as I just picked up a man from the fucking woods off the highway in the pourin…,Pretty sure I’m now an accomplice in a murder as I just picked up a man from the fucking woods off the highway in the pouring rain and when I asked him what he was doing he said “night are crazy”. He was wearing nothing but a fedora and overalls too,Sat Aug 18 14:26:38 +0000 2018
WdoHZF2pJFzTaDc,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 14:25:55 +0000 2018
bmtruqia,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:25:52 +0000 2018
Tfbcorbyn,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:25:45 +0000 2018
stopandlovezria,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:25:35 +0000 2018
FaheezaA,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:25:20 +0000 2018
avaneka2,"RT @MadAmour13: I said, LEAVE BUT ALL I REALLY WANT IS YOU 
TO STAND OUTSIDE MY WINDOW THROWING PEBBLES SCREAMING,
'I'M IN LOVE WITH YOU'
W…","I said, LEAVE BUT ALL I REALLY WANT IS YOU 
TO STAND OUTSIDE MY WINDOW THROWING PEBBLES SCREAMING,
'I'M IN LOVE WITH YOU'
WAIT THERE IS THE POURING RAIN, COME BACK FOR MORE
AND DON’T YOU LEAVE CAUSE I KNOW ALL I NEED IS ON THE OTHER SIDE OF THE DOOR. @taylorswift13 https://t.co/53ygbKEs04",Sat Aug 18 14:24:59 +0000 2018
CanoIyoShaax,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:23:41 +0000 2018
rachloveskelsUK,When I was 9 I waited outside X factor for like 4 hours in the pouring rain to see her sing WANEGBT even tho the age limit was 12 😂 https://t.co/vMocaTQBd1,,Sat Aug 18 14:23:34 +0000 2018
daharami,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:22:22 +0000 2018
youngManii_,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:21:58 +0000 2018
TeriWilfong,"@C_Rice1 @tammymrice @erice_15 @BMSupdates @KauligRacing Oh wow, it's hard there when it's nice out so can't imagine how hard when it's pouring rain. Good job everyone! 💪🏻👊🏻",,Sat Aug 18 14:21:54 +0000 2018
bbyga__,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:21:21 +0000 2018
wyd_bri,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:21:15 +0000 2018
RunningWTG,This guy put up with me for 13 miles with me in the  pouring rain.  I think he deserves some kind of 🏅 for that.  @Bradbailey31497 #dirtunit https://t.co/RtYx6V6QLT,,Sat Aug 18 14:20:53 +0000 2018
dhibaato,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:19:17 +0000 2018
_faaiiy,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:19:15 +0000 2018
wikmi_,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:19:03 +0000 2018
Cbreeezy94,Yeah it’s deff going to rain today lmao the weathers doing that sneaky shit give us sun right before it starts pouring,,Sat Aug 18 14:18:08 +0000 2018
cakeskween,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:17:58 +0000 2018
itsfatiyyya,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 14:17:39 +0000 2018
_Fatima_SM,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,,Sat Aug 18 14:16:52 +0000 2018
RintuSi16486139,RT @Indiamining: The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#…,The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#RestartMining @My_Goa_ #Goa #GoaNeedsYourAttention @goacm @PMOIndia @manoharparrikar #GoansFightsForSurvival #GoansOnDharna #OrdinanceForMiningRestart,Sat Aug 18 14:14:58 +0000 2018
ApercusDeMoi,@DumaKillings : Will you be the sun or the pouring rain?,,Sat Aug 18 14:11:11 +0000 2018
Camiw_tia_Moon,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:10:57 +0000 2018
lamiekatelyn,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 14:08:45 +0000 2018
jojo_munu,"RT @vinne0312: I was blanked out earlier if I remembered it right Yong asked ""when do you feel the most emotional?"" Moos said ""at dawn/midn…","I was blanked out earlier if I remembered it right Yong asked ""when do you feel the most emotional?"" Moos said ""at dawn/midnight"" and Yong replied ""for me.. day when the rain is pouring""

*Rainy Days*",Sat Aug 18 14:06:00 +0000 2018
zinniaz99,"Just finished running IN the lake with my ten mile nth old puppy. That’s hella fun, especially I n the pouring rain. https://t.co/mLLZQxaLk8",,Sat Aug 18 14:05:59 +0000 2018
LaughingDevil1,I'd say its nice to be back in Wales...but the welcome has been less than warm! A nice week on the south coast to pouring rain and more forecast...booo!,,Sat Aug 18 14:04:00 +0000 2018
mooniightalli,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 14:03:19 +0000 2018
owreeo,"meet me in the pouring rain, kiss me on a sidewalk, take away the paaaain",,Sat Aug 18 14:02:00 +0000 2018
mancasupang,you make my heart feel like it's summer when the rain is pouring down,,Sat Aug 18 14:01:29 +0000 2018
babblinngbrooke,A year ago @JohnMayer blessed us with Covered in Rain while it was pouring at BB&amp;T. 10 years of chasing that song and I finally got it 😭 That show was perfect.,,Sat Aug 18 14:01:14 +0000 2018
anika_ae21,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 13:59:10 +0000 2018
dcbrevs,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 13:58:41 +0000 2018
usasmitty,"Maybe hardship happens to teach us gratitude. It's pouring rain, I'm off today, and this is pretty good.",,Sat Aug 18 13:58:11 +0000 2018
KelleyWally,"Before, during &amp; after! Man it was pouring rain ☔️",,Sat Aug 18 13:58:05 +0000 2018
braders1875,Pouring with rain but Brixham looking good at start.,,Sat Aug 18 13:58:02 +0000 2018
JAYZGARCES1,"Who are you today ?
Will you be the sun or the pouring rain ?",,Sat Aug 18 13:57:28 +0000 2018
