ikodu_boie,@thatboi_on_fire @Klannyposts @GeniusJokerNG Tank yu,,Sun Aug 19 08:16:27 +0000 2018
Michael_Leh,"RT @1stCavalryDiv: #IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug.…","#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",Sat Aug 11 14:02:31 +0000 2018
1stCavalryDiv,"#IRONHORSE Troopers from Co. C, 2-5 CAV, fire their M1A2 Abrams tank on range 11 at Vaziani Training Area, Georgia, Aug. 2, 2018. They are participating in exercise Noble Partner 2018 with Georgian Armed Forces!
#FirstTeam
#LiveTheLegend https://t.co/4i7AYU4uSK",,Sat Aug 11 14:00:32 +0000 2018
vintagesignals1,RT @72ndBn: Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; f…,Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; finally managed to stop its fire. This was done through a storm of bullets. #France #Amiens #FirstWorldWar,Sat Aug 11 13:51:26 +0000 2018
melodicvibe,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 13:36:38 +0000 2018
MikeReeseM,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 13:31:00 +0000 2018
GrainneFerris,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 13:29:03 +0000 2018
Red_Jin_Playz,"I liked a @YouTube video https://t.co/avuhX8jl60 MAKING-OF: PLANE CRASH ON OIL TANK FARM, RC FIRE ENGINES, FIREFIGHTER, ACCIDENT,",,Sat Aug 11 13:26:19 +0000 2018
Zedekia1990,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 13:17:13 +0000 2018
BklynMS,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 13:02:42 +0000 2018
VCFD,RT @VCFD_PIO: #CanyonInc: Update... Tractor tank has been safely offloaded and righted. Fire crews are being released. CHP along with clean…,#CanyonInc: Update... Tractor tank has been safely offloaded and righted. Fire crews are being released. CHP along with cleanup crew  and VC Environmental Health will remain on scene to complete cleanup and accident investigation @VCFD https://t.co/dClCSkhnuH,Sat Aug 11 12:53:37 +0000 2018
hoganray101,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 12:49:34 +0000 2018
RangerGambie,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 12:47:49 +0000 2018
Lewisno1fan,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 12:21:28 +0000 2018
Bardred100,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 12:16:12 +0000 2018
AbsonJill,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 12:12:57 +0000 2018
GeorgeForster62,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 12:03:49 +0000 2018
insaafinqalaab,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:58:33 +0000 2018
Bartholomew53,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:53:36 +0000 2018
tootsdles,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:53:28 +0000 2018
UofM15,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:52:26 +0000 2018
Tadgh99,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:51:28 +0000 2018
funkiechicken,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:41:46 +0000 2018
bnraven1,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:39:28 +0000 2018
Warya88,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:35:56 +0000 2018
kimmierae61,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:30:58 +0000 2018
rattlecans,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:28:25 +0000 2018
Sain_Che,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:27:23 +0000 2018
JohnWight1,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:24:53 +0000 2018
davidaslindsay,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:22:13 +0000 2018
shalimarguru,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:17:02 +0000 2018
CLeftfooter,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:12:56 +0000 2018
ifsaal044,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:04:28 +0000 2018
Franield,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:04:10 +0000 2018
johncorden47,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 11:04:00 +0000 2018
ah_issa,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 10:59:33 +0000 2018
BretRamshaw,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 10:57:36 +0000 2018
phford40,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 10:54:10 +0000 2018
ngelezsf,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Sat Aug 11 10:52:54 +0000 2018
