jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
portalgun19,@PafVFP Tu n'as pas dit que tu trouvais que la VF d'Heavy Rain est un des seuls éléments que tu as aimé dans ce jeux ? Sinon à l'excepté de Gurren Lagann (Je le connais que du nom ._.) je suis d'accord avec toi,,Sat Aug 18 14:52:27 +0000 2018
SkyNewsWeather,"Heavy rain for many tonight, but SE half of England and N Scotland will stay dry. Risk of some localised flooding. Windy SW &amp; Irish Sea. Quite warm for most, chilly N Scotland. https://t.co/W7VR9lRClH",,Sat Aug 18 14:52:25 +0000 2018
GianncarloI,"RT @NWSSanJuan: Scattered showers are developing across portions of eastern PR. Brief periods of heavy rain and gusty winds are possible.
A…","Scattered showers are developing across portions of eastern PR. Brief periods of heavy rain and gusty winds are possible.
Aguaceros dispersos se están desarrollando a través de sectores del este de PR. Periodos breves de lluvia fuerte son posibles.
#prwx #usviwx https://t.co/hsqkmQkuq0",Sat Aug 18 14:52:07 +0000 2018
ajithkkrishna,"@SunnyLeone People in kerala are suffering huge loss due to heavy rain and flood,this requires worlds attention, so we are expecting a contribution from your side.
#Standwithkerala",,Sat Aug 18 14:51:46 +0000 2018
AlluKanchana,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 14:51:35 +0000 2018
camronamanda,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:51:29 +0000 2018
soproudtobeBi,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:51:02 +0000 2018
mahanth75,ಕೊಡಗಿನ ಈಗಿನ ದುಸ್ಥಿತಿಗೆ ಮಿತಿಮೀರಿದ ಭೂಪರಿವರ್ತನೆ ಕಾರಣವಾಯಿತೇ? https://t.co/KzIqrd9p86,,Sat Aug 18 14:50:56 +0000 2018
DopplerDan,RT @ajuklo18: I like precisioncast's thinking in keeping most of the rain south of the turnpike this afternoon. Everyone has a chance to ge…,I like precisioncast's thinking in keeping most of the rain south of the turnpike this afternoon. Everyone has a chance to get wet though and heavy downpours will be a concern. @DopplerDan and myself will keep you updated as needed. https://t.co/q3jgka6VTE,Sat Aug 18 14:50:55 +0000 2018
thepresidenthal,"RT @AReppert: Still think there is rain around @BMSupdates tonight, but any storms could bring heavy downpours. Still think there are chanc…","Still think there is rain around @BMSupdates tonight, but any storms could bring heavy downpours. Still think there are chances for delays, but thinking it's a 60% chance for an official race and 35% chance to go the distance. @bobpockrass",Sat Aug 18 14:50:43 +0000 2018
melanie_korach,RT @fredcityandy: Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it ea…,"Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it easier. I have incredible respect for those who’ll do that today.
#FrederictonStrong",Sat Aug 18 14:50:19 +0000 2018
wmrkdo,"RT @NWSSanJuan: Scattered showers are developing across portions of eastern PR. Brief periods of heavy rain and gusty winds are possible.
A…","Scattered showers are developing across portions of eastern PR. Brief periods of heavy rain and gusty winds are possible.
Aguaceros dispersos se están desarrollando a través de sectores del este de PR. Periodos breves de lluvia fuerte son posibles.
#prwx #usviwx https://t.co/hsqkmQkuq0",Sat Aug 18 14:49:56 +0000 2018
eddm_printing,"Kerala floods: death toll rises to at least 324 as rescue effort continues

220,000 people left homeless and thousands still trapped in southern Indian state after unusually heavy rain

People are airlifted to safety

Pressure intensified on Saturday to save thousands still … https://t.co/NNwVMHg0TA",,Sat Aug 18 14:49:33 +0000 2018
KilianJulianus,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/Ag4YYaASd4,,Sat Aug 18 14:49:18 +0000 2018
blake_buckley,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:49:15 +0000 2018
PEIslandCanada,RT @HouckisPokise: Rain continues at times heavy in #PEI XNC - Long Range Reflectivity Tilt 1 8:29 AM MDT #Pestorm https://t.co/K3dJfEdtVe,Rain continues at times heavy in #PEI XNC - Long Range Reflectivity Tilt 1 8:29 AM MDT #Pestorm https://t.co/K3dJfEdtVe,Sat Aug 18 14:49:11 +0000 2018
biasbustersofks,RT @NYGovCuomo: In Seneca County where flash floods and heavy rain have damaged homes and property. I thank the first responders and emerge…,"In Seneca County where flash floods and heavy rain have damaged homes and property. I thank the first responders and emergency crew for their hard work. More rain is expected, but I feel confident that we'll be able to get people out of harm's way. https://t.co/1hk9zR6rfs",Sat Aug 18 14:48:53 +0000 2018
Anane4Albany,"Due to the heavy rain, this morning's ""Council on Your Corner"" will be held inside of Hudson River Coffee House until 12pm. Hope to see you there! #10thWard #PineHills #Albany #10thWardForward https://t.co/GEe3ylYwvR",,Sat Aug 18 14:48:47 +0000 2018
Monaranjan7,"RT @MumbaiMirror: #KeralaFloods: Railway Minister @PiyushGoyal announces help on behalf of Indian Railways for the affected.
Follow LIVE: h…","#KeralaFloods: Railway Minister @PiyushGoyal announces help on behalf of Indian Railways for the affected.
Follow LIVE: https://t.co/tqeZTxKNp7 https://t.co/GHU3pMmaVq",Sat Aug 18 14:47:50 +0000 2018
S60T4,HEAVY RAINと似たようなバタフライエフェクトのやつだけど、SFっぽくてそこまで怖くないから,,Sat Aug 18 14:47:48 +0000 2018
Pradeep44923776,"RT @BangaloreMirror: #KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.c…","#KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.co/e63VLvZZxx",Sat Aug 18 14:47:43 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods രക്ഷാപ്രവര്‍ത്തനം സൈന്യത്തെ ഏല്‍പിച്ചില്ലെങ്കില്‍ കോടതിയെ സമീപിക്കും -പി.എസ്. ശ്രീധരൻ പിള്ള https://t.co/AcxDbjV1ZX",,Sat Aug 18 14:47:30 +0000 2018
joelle_dewulf,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/swL835jH4W,,Sat Aug 18 14:47:25 +0000 2018
iembot_aly,"At 8:08 AM EDT, 4 SE Chatham [Columbia Co, NY] WEATHERNET6 reports HEAVY RAIN of 3.24 INCH https://t.co/RI2UUqcdeI",,Sat Aug 18 14:47:24 +0000 2018
BrentDgls,"Flooded walkways, subway service reopened after another night of flooding in Toronto https://t.co/2v5kTVyuLf via @torontostar",,Sat Aug 18 14:47:19 +0000 2018
KishiMystique,"RT @Btsfan1234567: @BTS_twt BTS and Armys , I know this is out of topic but please pray for the people in Kerala , India . Due to heavy rai…","@BTS_twt BTS and Armys , I know this is out of topic but please pray for the people in Kerala , India . Due to heavy rain and flood a lot of people lost their home and their lives . Let’s all pray together for all those in danger. Army’s who saw this comment pls share and pray for us 😢 https://t.co/2LoYGy6DtG",Sat Aug 18 14:46:59 +0000 2018
KishiMystique,"RT @Btsfan1234567: @BTS_twt Yes ,after 26 years . Due to heavy rain Kerala has opened all the big and small dams and now Kerala is literall…","@BTS_twt Yes ,after 26 years . Due to heavy rain Kerala has opened all the big and small dams and now Kerala is literally under water. It’s a catostraphic situation here . All army’s , let’s hold our hands together and pray for the people here",Sat Aug 18 14:46:57 +0000 2018
moofable,@sqiouyilu I so need to get in the habit of checking wether in Maryland. I never did it in California but I have gotten Surprise!Heavy Rain! so many times in Maryland.,,Sat Aug 18 14:46:32 +0000 2018
OMMEADGuayama,"Scattered showers are developing across portions of eastern PR. Brief periods of heavy rain and gusty winds are possible.
Aguaceros dispersos se están desarrollando a través de sectores del este de PR. Periodos breves de lluvia fuerte son posibles.
#prwx… https://t.co/v0P146q3b6",,Sat Aug 18 14:46:27 +0000 2018
alvarcidane,"RT @Sustainable2050: 220,000 people left homeless in southern Indian state after unusually heavy rain. 
Chief Minister Vijayan: “We’re witn…","220,000 people left homeless in southern Indian state after unusually heavy rain. 
Chief Minister Vijayan: “We’re witnessing something that has never happened before in the history of Kerala” https://t.co/r6ipaTNFU5",Sat Aug 18 14:46:11 +0000 2018
Akhil_Lalji,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 14:46:01 +0000 2018
miss_angueira,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:45:48 +0000 2018
ScottMartinWx,"RT @RacecastWx: Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing clo…","Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing close-by. Heavy rain expected today. Flash flood watch goes into effect at 2PM today. Here's the latest forecast graphic with radar at 10:40 AM EDT. @IndyCar https://t.co/Njx3uHt0pQ",Sat Aug 18 14:45:03 +0000 2018
RaceWx4You,"RT @RacecastWx: Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing clo…","Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing close-by. Heavy rain expected today. Flash flood watch goes into effect at 2PM today. Here's the latest forecast graphic with radar at 10:40 AM EDT. @IndyCar https://t.co/Njx3uHt0pQ",Sat Aug 18 14:44:56 +0000 2018
SarathAnchingal,"@aprasad014 @eskaysreekumar @HariIndic Monsoon! 😂😂😂 

I'm just few Km's away. That's a low lying region. If there's heavy rain it goes under water.",,Sat Aug 18 14:44:54 +0000 2018
RacecastWx,"Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing close-by. Heavy rain expected today. Flash flood watch goes into effect at 2PM today. Here's the latest forecast graphic with radar at 10:40 AM EDT. @IndyCar https://t.co/Njx3uHt0pQ",,Sat Aug 18 14:43:42 +0000 2018
VishnuKalesh,"Heavy Rain expected in all districts in Kerala except Kasargod,Kollam &amp; Thiruvanathpuram. 
#bealert 
#KeralaFlood",,Sat Aug 18 14:43:29 +0000 2018
witchlady_brady,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:43:28 +0000 2018
YukieU2,"5.We often have a heavy snowfall in our area.
6.I don’t open my umbrella in light rain.
7.I believe heavy traffic boosts my risk of a heart attack.",,Sat Aug 18 14:42:57 +0000 2018
PressFreedom_,Kerala Floods LIVE Updates: Help Trickles in from Other States Amid Fears of More Rain; Red Alert in 11 Districts - News18 https://t.co/75Cugry1kp,,Sat Aug 18 14:42:34 +0000 2018
CorruptPunjab,RT @PIB_India: #EveningWeatherUpdate: Heavy to very heavy rain at isolated places very likely over Coastal &amp; South Interior Karnataka and S…,"#EveningWeatherUpdate: Heavy to very heavy rain at isolated places very likely over Coastal &amp; South Interior Karnataka and Saurashtra &amp; Kutch; 
Coastal Andhra Pradesh, Telangana, Tamilnadu and Kerala.
@Indiametdept https://t.co/elyQny7Iux",Sat Aug 18 14:42:26 +0000 2018
CorruptPunjab,"RT @PIB_India: #EveningWeatherUpdate: Heavy rain at isolated places over Andaman &amp; Nicobar Islands, Nagaland, Manipur,   Mizoram  &amp;  Tripur…","#EveningWeatherUpdate: Heavy rain at isolated places over Andaman &amp; Nicobar Islands, Nagaland, Manipur,   Mizoram  &amp;  Tripura, Odisha,   Uttarakhand,   north   Haryana   &amp;  Chandigarh,   north   Punjab, Coastal Andhra Pradesh, Telangana, Tamilnadu and Kerala. @Indiametdept https://t.co/QiCvJATDWa",Sat Aug 18 14:42:20 +0000 2018
RussellDeanSto1,RT @RPMotorsports: Heavy rain is going through Bristol area now.  Forecast looks better this afternoon and early evening.,Heavy rain is going through Bristol area now.  Forecast looks better this afternoon and early evening.,Sat Aug 18 14:42:18 +0000 2018
HankAllenWX,Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,,Sat Aug 18 14:42:14 +0000 2018
HouckisPokise,RT @PEI_Stormchaser: 11:00am (14z) Heavy rain (+RA). Rainfall storm total 16.6 mms. Cocorahs PE-20 Bonshaw. #PEStorm,11:00am (14z) Heavy rain (+RA). Rainfall storm total 16.6 mms. Cocorahs PE-20 Bonshaw. #PEStorm,Sat Aug 18 14:42:07 +0000 2018
daniceraj,"RT @TimCraig17a: #Kerala has struggled with the recent heavy rain, which has been 257% of normal levels in week to August 15. #India #flood…","#Kerala has struggled with the recent heavy rain, which has been 257% of normal levels in week to August 15. #India #flooding @FT",Sat Aug 18 14:42:07 +0000 2018
Ourlads_Shonka,"RT @MaryKayCabot: #Browns Baker Mayfield overcomes 2 of his TD passes disappearing, heavy rain and a collapsing pocket to provide a late ra…","#Browns Baker Mayfield overcomes 2 of his TD passes disappearing, heavy rain and a collapsing pocket to provide a late rally in a 19-17 loss to the #Bills in preseason game 2 https://t.co/9j2DpwUf98",Sat Aug 18 14:42:07 +0000 2018
RPMotorsports,Heavy rain is going through Bristol area now.  Forecast looks better this afternoon and early evening.,,Sat Aug 18 14:41:52 +0000 2018
Ananthaforu,"RT @BangaloreMirror: #KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.c…","#KarnatakaFloods; CM @hd_kumaraswamy reviews situation in the State.
LIVE updates: https://t.co/QD2qvkqkTO https://t.co/e63VLvZZxx",Sat Aug 18 14:41:29 +0000 2018
mothevarun,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 14:41:23 +0000 2018
