_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
humility0828,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 17:14:58 +0000 2018
elodieentongs,"RT @ChartresTrafic: [TRAVAUX]

Dimanche 19/08, travaux de remise en service du poste de signalisation à St Cyr. 

Interruption totale de ci…","[TRAVAUX]

Dimanche 19/08, travaux de remise en service du poste de signalisation à St Cyr. 

Interruption totale de circulation de 0h à 13h. Aucun train TER ne circulera entre Paris-Montparnasse et Rambouillet.

⬇️Ci-dessous, les TER modifiés ou supprimés https://t.co/OMLNcmPoXQ",Tue Aug 14 17:14:11 +0000 2018
MA_RAMRANI,RT @VincentCarrias: L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessit…,L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessite 4 à 6 heures d'interruption de service ; elle mobilise 2 monteurs sur le pylône et 2 au sol. #4GOrangeCaraibe #OrangeNumero1 #mobiliséspourvous https://t.co/bKtLGH53ED,Tue Aug 14 17:13:23 +0000 2018
Sharmaine070509,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 17:10:22 +0000 2018
Unni_Jo,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 17:07:24 +0000 2018
chelaggie,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 16:53:32 +0000 2018
comcastcares,@Johnp707 Hi. I'd like to take a look at your service interruption. Could you please send me a DM with your name and the phone number linked to your account? -KCB,,Tue Aug 14 16:52:53 +0000 2018
comcastcares,@TradersSanibel Hi. That burger looks delicious! I'd like to take a look at your service interruption. Could you please send me a DM with your name and the phone number linked to your account? -KCB,,Tue Aug 14 16:51:34 +0000 2018
jysy971,RT @VincentCarrias: L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessit…,L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessite 4 à 6 heures d'interruption de service ; elle mobilise 2 monteurs sur le pylône et 2 au sol. #4GOrangeCaraibe #OrangeNumero1 #mobiliséspourvous https://t.co/bKtLGH53ED,Tue Aug 14 16:45:25 +0000 2018
comcastcares,@DJ_YoursTruly Hi there. That is incredibly frustrating you're experiencing trouble with the internet service. Are you using our My Account app to determine the estimated time of repair for the service interruption? ~MK,,Tue Aug 14 16:43:44 +0000 2018
Irapot_24,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 16:40:40 +0000 2018
PascaleZOZOR,RT @VincentCarrias: L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessit…,L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessite 4 à 6 heures d'interruption de service ; elle mobilise 2 monteurs sur le pylône et 2 au sol. #4GOrangeCaraibe #OrangeNumero1 #mobiliséspourvous https://t.co/bKtLGH53ED,Tue Aug 14 16:39:12 +0000 2018
ManilaPaperBlog,"Maynilad Water Service Interruption Aug. 14 Quezon City, Manila, Pasay, Pque., Las Pinas, Muntinlupa, Cavite, Bulacan, Makati, Navotas, Caloocan https://t.co/R0bgDTahi8",,Tue Aug 14 16:32:18 +0000 2018
johnleesandiego,Water Service Interruption in area of Belleville Ave in #Bloomfield https://t.co/SlTf1g2xhe,,Tue Aug 14 16:24:55 +0000 2018
BloomfieldPulse,"Water Service Interruption

BLOOMFIELD, NJ -- The Bloomfield Department of Engineering has released the following statement:

On Tuesday, August 14th, a service line was pulled on… https://t.co/YuqC1Cux6f",,Tue Aug 14 16:22:40 +0000 2018
BloomfieldTAP,Water Service Interruption in area of Belleville Ave in Bloomfield https://t.co/zOKmpTJahw,,Tue Aug 14 16:19:54 +0000 2018
TanLotlot,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 16:16:03 +0000 2018
GuerillaMae,RT @outstandingVA: @maynilad @maynilad YOU SHOULD GIVE NOTICE PRIOR TO INTERRUPTION BUT WHAT YOU DID IS THE OPPOSITE. HOW CAN WE EVEN PREPA…,@maynilad @maynilad YOU SHOULD GIVE NOTICE PRIOR TO INTERRUPTION BUT WHAT YOU DID IS THE OPPOSITE. HOW CAN WE EVEN PREPARE FOR IT WHEN YOU ALREADY STOPPED THE SUPPLY? THAT IS JUST POOR CUSTOMER SERVICE!!!,Tue Aug 14 16:09:23 +0000 2018
BrunoBonacci,"From John Ousterhout’s book ""A Philosophy of Software Design” on “tactical tornadoes”. In my career I met a few of those. In one occasion it took a team of 4 ppl, 6 months to fix, without causing service interruption, the damage that a tactical tornado created in two weeks. https://t.co/iTwU4LRrpw",,Tue Aug 14 16:01:13 +0000 2018
oxymorontoo,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:58:16 +0000 2018
cherryjimenez,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:56:12 +0000 2018
inquirerdotnet,"RT @NCorralesINQ: Water service interruption here at Gen T. De Leon in @valenzuelacity. No definite time of water service resumption, says…","Water service interruption here at Gen T. De Leon in @valenzuelacity. No definite time of water service resumption, says @maynilad. Most areas in Metro Manila also suffer water service interruption from @maynilad. @inquirerdotnet",Tue Aug 14 15:55:56 +0000 2018
talaman_lenie,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:55:28 +0000 2018
rachelgrajales,"RT @sanjuancityncr: Water service interruption from August 16, 7:00 pm to August 17, 9:00 am in the following barangays of San Juan City :…","Water service interruption from August 16, 7:00 pm to August 17, 9:00 am in the following barangays of San Juan City :

Addition Hills
Corazon de Jesus 
Greenhills 
Little Baguio 
Pasadena
West Crame",Tue Aug 14 15:54:11 +0000 2018
joybalcita,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:53:52 +0000 2018
heyitsmaaaine,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:53:27 +0000 2018
ahyienen,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:53:15 +0000 2018
NCorralesINQ,"Water service interruption here at Gen T. De Leon in @valenzuelacity. No definite time of water service resumption, says @maynilad. Most areas in Metro Manila also suffer water service interruption from @maynilad. @inquirerdotnet",,Tue Aug 14 15:52:11 +0000 2018
destine_forever,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:51:59 +0000 2018
SheriffGroves,"RT @CCNewsAdvocate: Approximately 1,200 customers near the Scammon area will be affected by the service interruption https://t.co/8rzzLYa4wz","Approximately 1,200 customers near the Scammon area will be affected by the service interruption https://t.co/8rzzLYa4wz",Tue Aug 14 15:51:46 +0000 2018
athenaraine16,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:50:59 +0000 2018
Aquarian_215,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:49:12 +0000 2018
yramenna1218,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:49:08 +0000 2018
Maybepot,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:48:11 +0000 2018
janet_cadas,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:47:50 +0000 2018
rakeshankamvar,@Airtel_Presence very pathetic service. Poor network. So many call drops. Always interruption in network service. @airtelindia,,Tue Aug 14 15:47:15 +0000 2018
Ipe12091,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:47:11 +0000 2018
NicexMaiChard,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:47:06 +0000 2018
Nah16Nah,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Tue Aug 14 15:45:22 +0000 2018
sharon_mtpi,"Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",,Tue Aug 14 15:44:32 +0000 2018
ThierryKergall,RT @VincentCarrias: L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessit…,L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessite 4 à 6 heures d'interruption de service ; elle mobilise 2 monteurs sur le pylône et 2 au sol. #4GOrangeCaraibe #OrangeNumero1 #mobiliséspourvous https://t.co/bKtLGH53ED,Tue Aug 14 15:41:47 +0000 2018
kristaaaal,RT @wsvn: #BREAKING: Spirit Airlines is experiencing a system-wide service interruption. The airline is unable to check-in passengers or bo…,#BREAKING: Spirit Airlines is experiencing a system-wide service interruption. The airline is unable to check-in passengers or board flights. https://t.co/msY0uCJeP0 https://t.co/s3HUJU3MZm,Tue Aug 14 15:37:36 +0000 2018
BridgetFargen,"RT @LPSorg: Lincoln Public Schools is experiencing some issues with phone service interruption throughout the school district. 
We apprecia…","Lincoln Public Schools is experiencing some issues with phone service interruption throughout the school district. 
We appreciate your patience while we deal with this issue as quickly as possible.
If you need to contact someone immediately, please try email. https://t.co/VN1eGPUVOa",Tue Aug 14 15:34:55 +0000 2018
phvntxsm,RT @Michii_kun: @maynilad thanks for announcing your water service interruption 2 hours after you disconnected your water lines from our ar…,"@maynilad thanks for announcing your water service interruption 2 hours after you disconnected your water lines from our area. Thanks. Thanks talaga. Ang husay. Amazing. Galeng. Woo. Husay mag-isip.
#Maynilad #WalangTubig #WaterPlease https://t.co/U1qRTzf8n6",Tue Aug 14 15:29:48 +0000 2018
vm1cha3lc,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Tue Aug 14 15:25:13 +0000 2018
