McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
Sha_4_Rica,RT @MarvelRisingSW: Who is Quake? @ChloeBennet gives us the inside scoop on how her character will shake things up in this new #MarvelRisin…,Who is Quake? @ChloeBennet gives us the inside scoop on how her character will shake things up in this new #MarvelRising featurette! https://t.co/tGlkY8t7hC,Sat Aug 18 16:03:00 +0000 2018
nanorobot_quake,現在日時：2018年8月19日日曜日　1時02分です。,,Sat Aug 18 16:02:22 +0000 2018
NecroRogIcon,"RT @Mclogenog: New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r","New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r",Sat Aug 18 16:01:39 +0000 2018
SpeedyQueencest,@RubyHaleRP Personally I always thought Quake was overrated.,,Sat Aug 18 16:01:21 +0000 2018
Michelle_Rios19,RT @MarvelRisingSW: Who is Quake? @ChloeBennet gives us the inside scoop on how her character will shake things up in this new #MarvelRisin…,Who is Quake? @ChloeBennet gives us the inside scoop on how her character will shake things up in this new #MarvelRising featurette! https://t.co/tGlkY8t7hC,Sat Aug 18 16:00:52 +0000 2018
RadoAlba_,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 16:00:07 +0000 2018
_povolo,"RT @ajiesenvinagre: El miedo que le tienen los machos a las mujeres organizadas es terrible.

LET THEM QUAKE IN THEIR BOOTS. https://t.co/o…","El miedo que le tienen los machos a las mujeres organizadas es terrible.

LET THEM QUAKE IN THEIR BOOTS. https://t.co/okMJAdUvbr",Sat Aug 18 15:58:45 +0000 2018
nduley,"@wherami_forum Oh yeah, mini quake near here yesterday I think, Loudon County 😲",,Sat Aug 18 15:58:43 +0000 2018
DeadEyePirate,RT @romero: The new DOOM Eternal gameplay video looks amazing! I cannot wait to use my SSG and then grapple around like I used to in Quake.…,The new DOOM Eternal gameplay video looks amazing! I cannot wait to use my SSG and then grapple around like I used to in Quake. The arm blade is also a perfect addition. I was wondering if Eternal DOOM was a naming influence? https://t.co/hkIaeyE6WK @doom #doom,Sat Aug 18 15:58:21 +0000 2018
SteegVan,"Magnitude 6.0 Quake Hits Southern Costa Rica, Panama; No Damage Reported https://t.co/PgRu5SGhKG via @ndtv",,Sat Aug 18 15:57:26 +0000 2018
leela_83,"RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was…","@DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was attributed to the wrath of jesus. 3. the christmas day quake in Bam, Iran of 2003 was attributed to the wrath of jesus. 4. the christmas day cyclone in darwin, Australia in 1974 was attributed, yes, same way",Sat Aug 18 15:56:46 +0000 2018
Tyranostradamus,"@Psyryn_OG It takes practice. But when you've been sword and boarding since the Quake Arena era, it's intrinsic. Give it time and you'll learn.",,Sat Aug 18 15:55:05 +0000 2018
HathcockJoe,"@nytopinion YEA! HEARD AFTER THIS TWEET, EVERYBODY IN JERSEY THOUGHT THERE WAS A QUAKE THERE! TURNED OUT IT WAS ONLY TRUMP SHAKING AND HIDING UNDER THE BED. SAID HE HEARD MUELLERS FOOTSTEPS!!!",,Sat Aug 18 15:55:01 +0000 2018
IamFortyLions,"OH MY GOD WHAT IS THAT????? ITS A BEAK...ITS A BEARD...ITS A BEAKBEARD LIVE ON TWITCH NOW WITH @Quake LETS GOOOOOOOOO!!!!!

https://t.co/4GrXVX4itT

#QuakeChampions #IamFortyLions #CaptainBeakBeard",,Sat Aug 18 15:54:55 +0000 2018
_Quake_ALiCE_,RT @3degC_teleta: 夏です。夏。　 #平成最後の夏限定絵描きさんと繋がりたい https://t.co/UvGLe4yP8e,夏です。夏。　 #平成最後の夏限定絵描きさんと繋がりたい https://t.co/UvGLe4yP8e,Sat Aug 18 15:54:20 +0000 2018
quake_ebooks,C'mon...,,Sat Aug 18 15:53:37 +0000 2018
_Quake_ALiCE_,RT @archillect: https://t.co/V4Ee1Yzopb,https://t.co/V4Ee1Yzopb,Sat Aug 18 15:53:14 +0000 2018
Dantaniean,"RT @IamFortyLions: Going LIVE with @Quake in 30 minutes! ITS BEEN SO LONG!!! Got some codes to giveaway and some sadness to share! 

https:…","Going LIVE with @Quake in 30 minutes! ITS BEEN SO LONG!!! Got some codes to giveaway and some sadness to share! 

https://t.co/4GrXVX4itT 

#QuakeChampions #IamFortyLions",Sat Aug 18 15:53:04 +0000 2018
_Quake_ALiCE_,RT @nefist993: ボルテIV 遊ぶことはできないけど、デモ画面は見れる！！ https://t.co/5cxGBne9OL,ボルテIV 遊ぶことはできないけど、デモ画面は見れる！！ https://t.co/5cxGBne9OL,Sat Aug 18 15:52:48 +0000 2018
kwame_quake,Dont you hate it when you take a sh*t on a w/c so hard that the water in the bowl splashes on your ass?? #anysimilarexperience #dontbeshy #relate #haha,,Sat Aug 18 15:51:20 +0000 2018
_aeWinD,#WINNING @Emmy_Autumn @murkedesdn @ExatoGames @GalexiaBand @GamerzArena @RCN_YoitsGK @rocketjumpzone @paradox_jin349 @mortalemperor @TimWillits @QubitFlip @SirJaxxy @OfficialTonyzoo - Great artwork! https://t.co/QqS9ArLVaH,,Sat Aug 18 15:50:52 +0000 2018
earthquakesApp,"[PHIVOLCS] M4.1 Aug-18 15:50:37 UTC, 213 km S 29ÂºW of Sarangani &amp; #40;Davao Occidental&amp; #41;, Depth:377.0km, https://t.co/hRs7u6qYaK #quake https://t.co/Y4vLkMthiR",,Sat Aug 18 15:50:37 +0000 2018
BookendsMY,"RT @RealRomanBuku: @wan_azriq @syxmie @syafiqghaz @radzi393 @nastodon @BookendsMY Kahkah, aku (sekadar cuba-cuba) mula dengan after the qua…","@wan_azriq @syxmie @syafiqghaz @radzi393 @nastodon @BookendsMY Kahkah, aku (sekadar cuba-cuba) mula dengan after the quake. Beli sewaktu studi di Czech dulu. Sebab buku Inggeris susah nak dapat - hanya Murakami (berlambak buku dia di kedai). Aku ingat aku baca ""Super-Frog Saves Tokyo"" dalam trem. Habis baca, tak tentu arah jugalah. Hahaha.",Sat Aug 18 15:50:03 +0000 2018
_Brian_Brooks,@artyfartystuff @usairforce Bailey's was a favorite until the quake.,,Sat Aug 18 15:49:44 +0000 2018
TheWarOfNow,"RT @NoonInKorea: Aircraft Spots verifies call signs for B-2s (MYTEE) and KC-10 tankers (QUAKE). The range is 11,000km for B-2s and from Whi…","Aircraft Spots verifies call signs for B-2s (MYTEE) and KC-10 tankers (QUAKE). The range is 11,000km for B-2s and from Whiteman to Hickam is 6,500km. Implication: they were ""loaded"" or perhaps more bombers. Refueling was needed and 4 tankers had to follow
https://t.co/QT0LJyeYUf",Sat Aug 18 15:49:33 +0000 2018
_Quake_ALiCE_,"RT @pigori: 노인의 지혜, 실종 두살배기 30분만에 찾다 - https://t.co/5AzTv4MqPR

정말 너무 멋있는 사람이네...","노인의 지혜, 실종 두살배기 30분만에 찾다 - https://t.co/5AzTv4MqPR

정말 너무 멋있는 사람이네...",Sat Aug 18 15:49:23 +0000 2018
_Quake_ALiCE_,"RT @Y47501305: &lt;RT부탁드려요&gt;
저 피씨방아르바이트합니다
존나 개뻔뻔허게 벤큐 모니터 훔쳐서 간 미르틴놈^^  이새끼 잡히면 알티하신분 추첨해서 기프트콘 쏘겠습니다. 진심^^ 제시간때 훔쳐간건 아니지만 ^^ 2대나 가져감.... http…","&lt;RT부탁드려요&gt;
저 피씨방아르바이트합니다
존나 개뻔뻔허게 벤큐 모니터 훔쳐서 간 미르틴놈^^  이새끼 잡히면 알티하신분 추첨해서 기프트콘 쏘겠습니다. 진심^^ 제시간때 훔쳐간건 아니지만 ^^ 2대나 가져감.... https://t.co/EFL65wMPYS",Sat Aug 18 15:48:58 +0000 2018
TimWillits,@Trance4Mason @QuakeCon @Quake @tokyopunchout @mortalemperor @SyncError Hahaha. Wow.,,Sat Aug 18 15:48:41 +0000 2018
notacardinalsun,meri auqaat hi sirf quake 3 khelni wali hai.. weak ass aminah,,Sat Aug 18 15:48:28 +0000 2018
_Quake_ALiCE_,RT @hack_star_99: 여러분 우리는 이 마크를 알고있습니다 https://t.co/oya0zhixwd,여러분 우리는 이 마크를 알고있습니다 https://t.co/oya0zhixwd,Sat Aug 18 15:47:23 +0000 2018
nanorobot_quake,現在日時：2018年8月19日日曜日　0時47分です。,,Sat Aug 18 15:47:19 +0000 2018
MorrowindRP,"@AussieAudible @TESOnline @Quake @Overcookedgame I really want to try Overcooked! It looks so cute and fun, I hope you have fun playing it with the fam. 😄",,Sat Aug 18 15:47:15 +0000 2018
_Quake_ALiCE_,RT @kogasa_parang: 이걸 아는 아재들은 RT해주세요 얼마나 아는지 한번 보자 https://t.co/61Jl9PZQVg,이걸 아는 아재들은 RT해주세요 얼마나 아는지 한번 보자 https://t.co/61Jl9PZQVg,Sat Aug 18 15:46:55 +0000 2018
MorrowindRP,"RT @AussieAudible: This weekend's gaming shall feature these kickass games: @TESOnline (Wolf dungeons!), @Quake, and some @Overcookedgame (…","This weekend's gaming shall feature these kickass games: @TESOnline (Wolf dungeons!), @Quake, and some @Overcookedgame (with my kid). https://t.co/ZwjKQ2dAII",Sat Aug 18 15:46:24 +0000 2018
_Quake_ALiCE_,RT @Machinima: When your team needs help but your ping is bad. https://t.co/hlzy0XQJrY,When your team needs help but your ping is bad. https://t.co/hlzy0XQJrY,Sat Aug 18 15:46:14 +0000 2018
Quake_Tracker4,Mag: 4 - Depth: 10 km - UTC 14:30 - Central Italy - GEOFON Info: https://t.co/TGKsmddEPN,,Sat Aug 18 15:46:01 +0000 2018
Hi_imDalven,"RT @QuakeGambino: 🖕🏾🔥 Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn","🖕🏾🔥 Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn",Sat Aug 18 15:45:39 +0000 2018
ericksonlab,Stephen Quake named Cornell AD White Professor at Large!! - https://t.co/Dc2IMCm9Hu,,Sat Aug 18 15:45:34 +0000 2018
4rdn4n,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 15:45:19 +0000 2018
_Quake_ALiCE_,RT @bakje_museum: 수줍어서 말도 못하고 https://t.co/PMQstxIMoy,수줍어서 말도 못하고 https://t.co/PMQstxIMoy,Sat Aug 18 15:45:14 +0000 2018
amxnzxc,"RT @theedgemarkets: Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS","Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS",Sat Aug 18 15:45:09 +0000 2018
MrNoFacee,RT @Quake: This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #f…,This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #feelsslambert https://t.co/tQLDvG3Qaq,Sat Aug 18 15:44:49 +0000 2018
angstas,"RT @newmandala: NEW POST: ""The disaster in Lombok last week therefore also showed the fault lines between rich foreigners—ushered to safety…","NEW POST: ""The disaster in Lombok last week therefore also showed the fault lines between rich foreigners—ushered to safety immediately by their insurance providers—and poor Indonesians left behind without much information, protection and support."" https://t.co/cUZjsyfjuI https://t.co/lWkgTrXDLd",Sat Aug 18 15:44:47 +0000 2018
_Phyn1x,My body is ready! @tokyopunchout @SyncError @mortalemperor  can I has pts now?? Lol https://t.co/Qvtwhs945r,,Sat Aug 18 15:43:37 +0000 2018
hemsol,"RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was…","@DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was attributed to the wrath of jesus. 3. the christmas day quake in Bam, Iran of 2003 was attributed to the wrath of jesus. 4. the christmas day cyclone in darwin, Australia in 1974 was attributed, yes, same way",Sat Aug 18 15:43:00 +0000 2018
hemsol,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 15:42:58 +0000 2018
MrNoFacee,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 15:42:19 +0000 2018
Kind_Kings,"RT @BUNvsBLANC: Have you heard ‘Gnome Quake’ by Luuc1A on #SoundCloud? #np https://t.co/J2BcrUhM6E

#深夜の2時間DTM
精霊ですって！何属性で行こうかと思ってニッチそうな地属性…","Have you heard ‘Gnome Quake’ by Luuc1A on #SoundCloud? #np https://t.co/J2BcrUhM6E

#深夜の2時間DTM
精霊ですって！何属性で行こうかと思ってニッチそうな地属性を表現しようとしました。というのは口実でSERUMを使いたかったんです。",Sat Aug 18 15:42:16 +0000 2018
getupradio,6.1 quake shakes Costa Rica near Panama https://t.co/WWYFvx0QXT,,Sat Aug 18 15:42:07 +0000 2018
Quake_Tracker4,"Mag: 4.4 - Depth: 270 km - UTC 13:50 - Izu Islands, Japan Region - EMSC Info: https://t.co/ylfbVQNUSZ",,Sat Aug 18 15:41:01 +0000 2018
milchre1s,@223_7th Quakeちゃんぽんやりませんか！？,,Sat Aug 18 15:40:50 +0000 2018
Avuyile47892137,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 15:40:36 +0000 2018
adrianacarr,"RT @ajiesenvinagre: El miedo que le tienen los machos a las mujeres organizadas es terrible.

LET THEM QUAKE IN THEIR BOOTS. https://t.co/o…","El miedo que le tienen los machos a las mujeres organizadas es terrible.

LET THEM QUAKE IN THEIR BOOTS. https://t.co/okMJAdUvbr",Sat Aug 18 15:40:24 +0000 2018
anil2653,RT @noconversion: Every Natural disaster is an opportunity for Christian Missionaries  ... to sell  Religion ....we saw same ..during  Nepa…,"Every Natural disaster is an opportunity for Christian Missionaries  ... to sell  Religion ....we saw same ..during  Nepal Earth Quake...now in #Kerala
 very sad 
#KeralaSOS
#KeralaFloodRelief
#KeralaDonationChallenge https://t.co/fYBintBuG9",Sat Aug 18 15:40:12 +0000 2018
yamadian,quakeのロケジャンダメージ大きいからつらい,,Sat Aug 18 15:40:10 +0000 2018
Fesousagt,Quake Champions agora é Free to Play. Confiram minha análise do game no Baixaki e corram para as arenas desse clássico FPS. https://t.co/IhOfYJ6I5d,,Sat Aug 18 15:39:44 +0000 2018
_Quake_ALiCE_,RT @kuzwell: ㅋㅋㅋ흑흑.. #少女前线 #少女前線 https://t.co/sRVddxOaTE,ㅋㅋㅋ흑흑.. #少女前线 #少女前線 https://t.co/sRVddxOaTE,Sat Aug 18 15:39:35 +0000 2018
Besaba27,"For all things Quake (and Doom), come to the Church of Quad Damage at https://t.co/9jWFYkohfh https://t.co/says95xQsW",,Sat Aug 18 15:39:02 +0000 2018
wk2hd,How many times have they said if there is a earth quake over seas it will hit the US with a tsunami. 100% impossible those land masses are north east and west. No way or how it can be done naturally.,,Sat Aug 18 15:38:51 +0000 2018
2hoursDTM,"RT @BUNvsBLANC: Have you heard ‘Gnome Quake’ by Luuc1A on #SoundCloud? #np https://t.co/J2BcrUhM6E

#深夜の2時間DTM
精霊ですって！何属性で行こうかと思ってニッチそうな地属性…","Have you heard ‘Gnome Quake’ by Luuc1A on #SoundCloud? #np https://t.co/J2BcrUhM6E

#深夜の2時間DTM
精霊ですって！何属性で行こうかと思ってニッチそうな地属性を表現しようとしました。というのは口実でSERUMを使いたかったんです。",Sat Aug 18 15:38:44 +0000 2018
_Quake_ALiCE_,RT @Pericote9: I lov them ヽ(^◇^*)/ https://t.co/c1av9bL43X,I lov them ヽ(^◇^*)/ https://t.co/c1av9bL43X,Sat Aug 18 15:38:39 +0000 2018
