SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
sharronharris19,"RT @SJT78508478: @jeremycorbyn Kofi Annan like you JC was strong and principled enough to stand up and say IRAQ was illegal...

Men of Peac…","@jeremycorbyn Kofi Annan like you JC was strong and principled enough to stand up and say IRAQ was illegal...

Men of Peace with integrity in turbulent times are like gold dust...

Thoughts and Prayers with his family..",Sat Aug 18 22:20:35 +0000 2018
Bajrangiaman,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:20:32 +0000 2018
akosdahthird,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 22:20:10 +0000 2018
anoopreddy27,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:19:49 +0000 2018
carsonsmarson,RT @HCBaseball2015: Struggling this morning with the loss of one of the greatest men I have ever known. A true friend and confidant. Harris…,Struggling this morning with the loss of one of the greatest men I have ever known. A true friend and confidant. Harris county has lost shining light in our community. Thoughts and prayers to the family of Coach Danny Durham. We love you Danny,Sat Aug 18 22:19:48 +0000 2018
VonaldP,@jaketapper thoughts and prayers for this spy,,Sat Aug 18 22:19:27 +0000 2018
IcyQueenBee,RT @realJamesCortez: @ceaete @IcyQueenBee @BigBaby11b @slumfamily @SimpletonSmith God bless Pop's soul and bless you through these very dif…,@ceaete @IcyQueenBee @BigBaby11b @slumfamily @SimpletonSmith God bless Pop's soul and bless you through these very difficult times. You will be in my thoughts and prayers.,Sat Aug 18 22:19:15 +0000 2018
wiserdawg,@WhiteNae thoughts and prayers your way.,,Sat Aug 18 22:18:43 +0000 2018
jrodriguez1126,"RT @MarkSchweitzer: I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait,…","I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait, that doesn’t help.  Never mind.  As you were.  https://t.co/TlQRVx1F2D",Sat Aug 18 22:18:39 +0000 2018
JenelsonL,RT @BarstoolISU: Thoughts and prayers to all the freshmen who were not granted permission from their DIS leader to skip today’s session htt…,Thoughts and prayers to all the freshmen who were not granted permission from their DIS leader to skip today’s session https://t.co/J99KOzx3ds,Sat Aug 18 22:18:39 +0000 2018
FattyG6,@coobles321 In my thoughts and prayers,,Sat Aug 18 22:18:39 +0000 2018
reinemi_2,"RT @xxxtilldeath: Today Marks 2 months since the passing of Jahseh Onfroy, Aka xxxTentacion. Please send your  thoughts ands prayers to his…","Today Marks 2 months since the passing of Jahseh Onfroy, Aka xxxTentacion. Please send your  thoughts ands prayers to his family at this time https://t.co/rBjBW1kADc",Sat Aug 18 22:18:33 +0000 2018
lauren_elizzz,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:18:32 +0000 2018
Ehguy11,"RT @middleageriot: Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the lad…","Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the ladders, sell the bulbs, blame Democrats for the dark, and send thoughts and prayers to anyone who trips.

#NationalTellAJokeDay",Sat Aug 18 22:18:19 +0000 2018
saiprasad4499,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:18:13 +0000 2018
BereftBarrister,"@RonWyden @baalat1 A lot of those people who ""couldn't vote for *her*"" will come by a hard lesson.  Thoughts and prayers for them.  Fighting for those who need it, can't afford to pay ""pre-existing"" prices.  Sad that the""couldn't vote for *her*"" crew will benefit if we win.",,Sat Aug 18 22:18:02 +0000 2018
teamKeRzErO,"RT @asif26795: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaFlood 😔😔",Sat Aug 18 22:17:51 +0000 2018
ACatherines2,@RogueFirstLady @Freedomtoresis1 Thoughts and prayers,,Sat Aug 18 22:17:06 +0000 2018
EffersonMarilu,"OUR THOUGHTS AND PRAYERS ARE WITH THE FAMILY AND FRIENDS (GHANA). 
He was a GREAT AFRICAN ICON.
#RIPKofiAnnan",,Sat Aug 18 22:17:04 +0000 2018
sara_button,RT @SteveKerr: Don't send money......thoughts and prayers should suffice. https://t.co/uYIWvgK8CD,Don't send money......thoughts and prayers should suffice. https://t.co/uYIWvgK8CD,Sat Aug 18 22:17:01 +0000 2018
MuralireddyCMNR,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:16:45 +0000 2018
premfrey,RT @troygrant: I join @GladysB extending my deepest sympathies to the pilot’s family &amp; friends. My thoughts &amp; prayers are with all emergenc…,I join @GladysB extending my deepest sympathies to the pilot’s family &amp; friends. My thoughts &amp; prayers are with all emergency services working to contain all fires across NSW. @nswpolice &amp; aviation authorities will investigate the incident &amp; prepare a report to the Coroner. https://t.co/orwiZgqO2k,Sat Aug 18 22:16:43 +0000 2018
Cheaprbythe12,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:16:26 +0000 2018
BryanKuhba,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 22:16:06 +0000 2018
littleredblog,RT @FredChristian10: My Thoughts And Prayers Go Out To The Family of #EdSchultz Today Thank You Ed For Fighting For Us All. Especially in #…,"My Thoughts And Prayers Go Out To The Family of #EdSchultz Today Thank You Ed For Fighting For Us All. Especially in #Healthcare and Helping Me become The Advocate I Am Today 
#EdShow #TeamEdShow #EdSchultz #Impact #ExpandMedicaidNow #RIPEdSchultz https://t.co/lCL1lain3I",Sat Aug 18 22:16:05 +0000 2018
Dude_ItsMariah,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 22:15:31 +0000 2018
StopBadDocs,@ravensspirit68 @BillieFLeSueur Keeping you &amp; kitty in my thoughts &amp; prayers!,,Sat Aug 18 22:15:13 +0000 2018
deadthot_,"This must be a really hard time for him, thoughts and prayers https://t.co/RiM5wygysV",,Sat Aug 18 22:15:09 +0000 2018
kootenaygirl25,RT @mattkulak: I want you all to keep my cousin Wes Kulak in your thoughts and prayers today. He's gone missing on his way to Penticton fro…,I want you all to keep my cousin Wes Kulak in your thoughts and prayers today. He's gone missing on his way to Penticton from Stony Plain and hasn't been seen or heard from since Tuesday. Hoping for some good news soon.,Sat Aug 18 22:15:05 +0000 2018
TheRealMPEG247,RT @MWD_News: It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are w…,It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are with his handler Michael and Michael's wife Tina. We are thankful that Free was able to live out the last 2 years of his retirement with Michael and Tina. https://t.co/CArSPKHdxb,Sat Aug 18 22:14:23 +0000 2018
apruthie,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:14:15 +0000 2018
Jaccpott,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 22:14:11 +0000 2018
Zebusrugby,"RT @GMD25691: First week of school in FL first school shooting

@marcorubio @SpeakerRyan @SenateMajLdr 

Send your thoughts and Prayers yet…","First week of school in FL first school shooting

@marcorubio @SpeakerRyan @SenateMajLdr 

Send your thoughts and Prayers yet? Or are you busy taking #NRA money?

#MarchForOurLives https://t.co/NmD7xiQj2u",Sat Aug 18 22:13:59 +0000 2018
thinkpraybot,"RT @asif26795: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaFlood 😔😔",Sat Aug 18 22:13:56 +0000 2018
thinkpraybot,"RT @Aspen_Crossing: Simple scenes like this one, tend to be taken for granted. Let's pray for clear skies to happen soon. All our thoughts…","Simple scenes like this one, tend to be taken for granted. Let's pray for clear skies to happen soon. All our thoughts and prayers for those brave #firefighters battling the #BCFires! https://t.co/1JO423n5CL",Sat Aug 18 22:13:53 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #Clifford #Indiana - #PrayForClifford,,Sat Aug 18 22:13:51 +0000 2018
thinkpraybot,RT @EricaJones1010: It’s been weeks since I’ve had a Butter Pecan Ice Coffee from @dunkindonuts &amp; I am liiiiving now. Send your thoughts an…,"It’s been weeks since I’ve had a Butter Pecan Ice Coffee from @dunkindonuts &amp; I am liiiiving now. Send your thoughts and prayers to Adam please. He is still living without in Hays, KS 🙏 https://t.co/5R2Bo9IFd3",Sat Aug 18 22:13:48 +0000 2018
realJamesCortez,@ceaete @IcyQueenBee @BigBaby11b @slumfamily @SimpletonSmith God bless Pop's soul and bless you through these very difficult times. You will be in my thoughts and prayers.,,Sat Aug 18 22:13:42 +0000 2018
thinkpraybot,RT @trentondean: Our thoughts and prayers are with them and their loved ones. Their service and the service of all who keep us safe is what…,Our thoughts and prayers are with them and their loved ones. Their service and the service of all who keep us safe is what our society must honour and respect. God Bless. https://t.co/Ct0Vzn2MfQ,Sat Aug 18 22:13:41 +0000 2018
thinkpraybot,"RT @dmontano030: Southern states among hardest hit by China tariffs
https://t.co/UKwzK33V7e Call it what it is trumpers red states. Serves…","Southern states among hardest hit by China tariffs
https://t.co/UKwzK33V7e Call it what it is trumpers red states. Serves you all right for voting for trump. Thoughts and prayers",Sat Aug 18 22:13:36 +0000 2018
jchandler977,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:13:08 +0000 2018
