ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
TalkinToU,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 06:52:43 +0000 2018
cinedependent,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 06:52:17 +0000 2018
v1ctoriAF,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:52:02 +0000 2018
speng_c,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:47:54 +0000 2018
HopefulPatriots,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:45:51 +0000 2018
marindmode,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:45:01 +0000 2018
FireFd42,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:43:26 +0000 2018
lpsantinello,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:43:14 +0000 2018
rose_bridget,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:41:21 +0000 2018
NancyMansour20,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:40:37 +0000 2018
morevalerie,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 06:39:24 +0000 2018
happysandwriter,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:39:21 +0000 2018
Betramobet,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:38:50 +0000 2018
abbienormull,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:38:28 +0000 2018
Dalis0503,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 06:37:26 +0000 2018
SASPPPATS67,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:35:44 +0000 2018
Kiljoywasntbeer,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:34:33 +0000 2018
donal_lee,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:34:23 +0000 2018
tkinder,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:32:59 +0000 2018
armygreens,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:30:33 +0000 2018
EndGameShowWW3,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 06:30:18 +0000 2018
